연번,참여대상,운영학기,프로그램명,주제,목적,운영부서,재원,"만족도 점수
 (5점 만점)",수료자
40,"학생, 지역민",2학기,TheGeNiUs학습법특강,4차 대학생 맞춤형 학습 전략 설계,효과적인 학습 방법 및 전략 제시하여 학습 효율성과 학업 성취도 향상,교육과정과 교양교육팀,국립대학육성사업,4.7,97
41,학생,"1학기,2학기",GNU창의융합동아리,모둠활동을 통한 문제해결 및 창의융합 역량 신장,"모둠활동을 통한 문제해결, 창의융합 역량 신장 및 학습 능력 강화",교육과정과 교양교육팀,국립대학육성사업,4.7,57
42,학생,2학기,GNU또래튜터링,또래 상호 학습법 공유 및 학습 동기 부여,또래 상호 협력을 통한 교수학습법 공유 및 학습 동기 부여,교육과정과 교양교육팀,국립대학육성사업,4.7,28
43,학생,2학기,기초학력증진프로그램(GNUGrowNUp),1차 수요자 맞춤형 기초학력증진,"사전 사후 진단평가, 수준별 컨텐츠 제공을 통한 수요자 맞춤형 교육 강화 및 학업 중도탈락 방지 ",교육과정과 교양교육팀,국립대학육성사업,3.79,49
44,학생,2학기,기초학력증진프로그램(GNUGrowNUp),2차 수요자 맞춤형 기초학력증진 ,"사전 사후 진단평가, 수준별 컨텐츠 제공을 통한 수요자 맞춤형 교육 강화 및 학업 중도탈락 방지 ",교육과정과 교양교육팀,국립대학육성사업,3.56,41
45,학생,2학기,기초학력증진프로그램(GNUGrowNUp),3차 수요자 맞춤형 기초학력증진 ,"사전 사후 진단평가, 수준별 컨텐츠 제공을 통한 수요자 맞춤형 교육 강화 및 학업 중도탈락 방지 ",교육과정과 교양교육팀,국립대학육성사업,3.55,54
46,학생,2학기,기초학력증진프로그램(GNUGrowNUp),4차 수요자 맞춤형 기초학력증진 ,"사전 사후 진단평가, 수준별 컨텐츠 제공을 통한 수요자 맞춤형 교육 강화 및 학업 중도탈락 방지 ",교육과정과 교양교육팀,국립대학육성사업,3.81,250
47,학생,2학기,신기술기반핵심역량강화,1차 줌 특강 (VR 기술 트렌드와 Unity 프로그래밍 입문),디지털 전환 가속화에 따른 산업구조 변화에 대응하여 전문 인재 양성을 위한 교육 인프라 구축,교육과정과 교양교육팀,국립대학육성사업,4.5,119
48,학생,2학기,신기술기반핵심역량강화,2차 실습형 캠프 (VR 콘텐츠 실습: 호러 게임 제작),디지털 전환 가속화에 따른 산업구조 변화에 대응하여 전문 인재 양성을 위한 교육 인프라 구축,교육과정과 교양교육팀,국립대학육성사업,4.6,7
49,학생,2학기,신기술기반핵심역량강화,3차 실습형 캠프 (VR 콘텐츠 실습: 호러 게임 제작),디지털 전환 가속화에 따른 산업구조 변화에 대응하여 전문 인재 양성을 위한 교육 인프라 구축,교육과정과 교양교육팀,국립대학육성사업,4.5,16
50,학생,2학기,신기술기반핵심역량강화,4차 실습형 캠프 (AI 콘텐츠 실습: 아바타 만들기),디지털 전환 가속화에 따른 산업구조 변화에 대응하여 전문 인재 양성을 위한 교육 인프라 구축,교육과정과 교양교육팀,국립대학육성사업,4.7,11
51,학생,2학기,신기술기반핵심역량강화,"2차 특강(로봇팔, 자율주행) ",디지털 전환 가속화에 따른 산업구조 변화에 대응하여 전문 인재 양성을 위한 교육 인프라 구축,교육과정과 교양교육팀,국립대학육성사업,4.5,27
52,학생,1학기,GNU인성교육,1차 올바른 인성의 개척인 양성,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,4.5,67
53,학생,1학기,GNU인성교육,2차 올바른 인성의 개척인 양성,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,4.6,80
54,학생,1학기,GNU인성교육,3차 올바른 인성의 개척인 양성,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,4.6,57
55,학생,2학기,GNU인성교육,4차 올바른 인성의 개척인 양성,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,4.6,63
56,학생,2학기,GNU인성교육,5차 올바른 인성의 개척인 양성,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,4.4,58
57,학생,2학기,GNU인성교육,구)과기대 2학기 (비대면) ,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,n/a,9
58,학생,1학기,GNU인성교육,구)과기대 1학기 (비대면) ,수요자 중심 인성 교육을 바탕으로 올바른 인성의 개척인 양성,교육과정과 교양교육팀,국립대학육성사업,n/a,24
59,학생,2학기,공모전,나만의 e-포트폴리오 기획 ,학생이 직접 포트폴리오 제작 및 활용하여 진로 취업 설계에 실질적으로 활용,교육과정과 교양교육팀,국립대학육성사업,4.7,44
60,학생,2학기,공모전,GNU개척스토리 ,한 해의 대학생활을 정리하여 향후 목표와 방향 설정을 주도적으로 설계할 수 있는 기회 제공,교육과정과 교양교육팀,국립대학육성사업,4.7,74
61,학생,2학기,공모전,학생 주도 비교과 프로그램 기획 ,비교과 프로그램에 대한 학생들의 흥미 고취 및 수요자 맞춤 프로그램 개발을 위한 비교과프로그램 설계에 자발적 참여 확대,교육과정과 교양교육팀,국립대학육성사업,4.7,97
62,교원,2학기,교양교과목인증,교양교과목 인증 컨설팅,다분반 교양교과목의 강의 일관성 유지 및 표준화된 질 관리,교육과정과 교양교육팀,국립대학육성사업,n/a,22
63,교원,2학기,디지털리터러시영역교양교육과정개발,1차 디지털리터러시 영역 교양교육과정 개발,"디지털, AI시대의 경쟁력 있는 인재 양성 및 수요자 요구 중심의 교육과정 확대를 위한 맞춤형 교과목 다양화",교육과정과 교양교육팀,국립대학육성사업,n/a,3
64,교원,2학기,디지털리터러시영역교양교육과정개발,2차 디지털리터러시 영역 교양교육과정 개발,"디지털, AI시대의 경쟁력 있는 인재 양성 및 수요자 요구 중심의 교육과정 확대를 위한 맞춤형 교과목 다양화",교육과정과 교양교육팀,국립대학육성사업,,1
